date_id,arrival_date,year,month,month_name,day,quarter,is_weekend
20160816,2016-08-16,2016,8,August,16,3,False
20160817,2016-08-17,2016,8,August,17,3,False
20160818,2016-08-18,2016,8,August,18,3,False
20160819,2016-08-19,2016,8,August,19,3,False
20160820,2016-08-20,2016,8,August,20,3,True
20160821,2016-08-21,2016,8,August,21,3,True
20160822,2016-08-22,2016,8,August,22,3,False
20160823,2016-08-23,2016,8,August,23,3,False
20160824,2016-08-24,2016,8,August,24,3,False
20160825,2016-08-25,2016,8,August,25,3,False
20160826,2016-08-26,2016,8,August,26,3,False
20160827,2016-08-27,2016,8,August,27,3,True
20160828,2016-08-28,2016,8,August,28,3,True
20160829,2016-08-29,2016,8,August,29,3,False
20160830,2016-08-30,2016,8,August,30,3,False
20160831,2016-08-31,2016,8,August,31,3,False
20160901,2016-09-01,2016,9,September,1,3,False
20160902,2016-09-02,2016,9,September,2,3,False
20160903,2016-09-03,2016,9,September,3,3,True
20160904,2016-09-04,2016,9,September,4,3,True
20160905,2016-09-05,2016,9,September,5,3,False
20160906,2016-09-06,2016,9,September,6,3,False
20160907,2016-09-07,2016,9,September,7,3,False
20160908,2016-09-08,2016,9,September,8,3,False
20160909,2016-09-09,2016,9,September,9,3,False
20160910,2016-09-10,2016,9,September,10,3,True
20160911,2016-09-11,2016,9,September,11,3,True
20160912,2016-09-12,2016,9,September,12,3,False
20160913,2016-09-13,2016,9,September,13,3,False
20160914,2016-09-14,2016,9,September,14,3,False
20160915,2016-09-15,2016,9,September,15,3,False
20160916,2016-09-16,2016,9,September,16,3,False
20160917,2016-09-17,2016,9,September,17,3,True
20160918,2016-09-18,2016,9,September,18,3,True
20160919,2016-09-19,2016,9,September,19,3,False
20160920,2016-09-20,2016,9,September,20,3,False
20160921,2016-09-21,2016,9,September,21,3,False
20160922,2016-09-22,2016,9,September,22,3,False
20160923,2016-09-23,2016,9,September,23,3,False
20160924,2016-09-24,2016,9,September,24,3,True
20160925,2016-09-25,2016,9,September,25,3,True
20160926,2016-09-26,2016,9,September,26,3,False
20160927,2016-09-27,2016,9,September,27,3,False
20160928,2016-09-28,2016,9,September,28,3,False
20160929,2016-09-29,2016,9,September,29,3,False
20160930,2016-09-30,2016,9,September,30,3,False
20161001,2016-10-01,2016,10,October,1,4,True
20161002,2016-10-02,2016,10,October,2,4,True
20161003,2016-10-03,2016,10,October,3,4,False
20161004,2016-10-04,2016,10,October,4,4,False
20161005,2016-10-05,2016,10,October,5,4,False
20161006,2016-10-06,2016,10,October,6,4,False
20161007,2016-10-07,2016,10,October,7,4,False
20161008,2016-10-08,2016,10,October,8,4,True
20161009,2016-10-09,2016,10,October,9,4,True
20161010,2016-10-10,2016,10,October,10,4,False
20161011,2016-10-11,2016,10,October,11,4,False
20161012,2016-10-12,2016,10,October,12,4,False
20161013,2016-10-13,2016,10,October,13,4,False
20161014,2016-10-14,2016,10,October,14,4,False
20161015,2016-10-15,2016,10,October,15,4,True
20161016,2016-10-16,2016,10,October,16,4,True
20161017,2016-10-17,2016,10,October,17,4,False
20161018,2016-10-18,2016,10,October,18,4,False
20161019,2016-10-19,2016,10,October,19,4,False
20161020,2016-10-20,2016,10,October,20,4,False
20161021,2016-10-21,2016,10,October,21,4,False
20161022,2016-10-22,2016,10,October,22,4,True
20161023,2016-10-23,2016,10,October,23,4,True
20161024,2016-10-24,2016,10,October,24,4,False
20161025,2016-10-25,2016,10,October,25,4,False
20161026,2016-10-26,2016,10,October,26,4,False
20161027,2016-10-27,2016,10,October,27,4,False
20161028,2016-10-28,2016,10,October,28,4,False
20161029,2016-10-29,2016,10,October,29,4,True
20161030,2016-10-30,2016,10,October,30,4,True
20161031,2016-10-31,2016,10,October,31,4,False
20161101,2016-11-01,2016,11,November,1,4,False
20161102,2016-11-02,2016,11,November,2,4,False
20161103,2016-11-03,2016,11,November,3,4,False
20161104,2016-11-04,2016,11,November,4,4,False
20161105,2016-11-05,2016,11,November,5,4,True
20161106,2016-11-06,2016,11,November,6,4,True
20161107,2016-11-07,2016,11,November,7,4,False
20161108,2016-11-08,2016,11,November,8,4,False
20161109,2016-11-09,2016,11,November,9,4,False
20161110,2016-11-10,2016,11,November,10,4,False
20161111,2016-11-11,2016,11,November,11,4,False
20161112,2016-11-12,2016,11,November,12,4,True
20161114,2016-11-14,2016,11,November,14,4,False
20161115,2016-11-15,2016,11,November,15,4,False
20161116,2016-11-16,2016,11,November,16,4,False
20161117,2016-11-17,2016,11,November,17,4,False
20161118,2016-11-18,2016,11,November,18,4,False
20161119,2016-11-19,2016,11,November,19,4,True
20161120,2016-11-20,2016,11,November,20,4,True
20161121,2016-11-21,2016,11,November,21,4,False
20161122,2016-11-22,2016,11,November,22,4,False
20161123,2016-11-23,2016,11,November,23,4,False
20161124,2016-11-24,2016,11,November,24,4,False
20161125,2016-11-25,2016,11,November,25,4,False
20161126,2016-11-26,2016,11,November,26,4,True
20161127,2016-11-27,2016,11,November,27,4,True
20161128,2016-11-28,2016,11,November,28,4,False
20161129,2016-11-29,2016,11,November,29,4,False
20161130,2016-11-30,2016,11,November,30,4,False
20161201,2016-12-01,2016,12,December,1,4,False
20161202,2016-12-02,2016,12,December,2,4,False
20161203,2016-12-03,2016,12,December,3,4,True
20161204,2016-12-04,2016,12,December,4,4,True
20161205,2016-12-05,2016,12,December,5,4,False
20161206,2016-12-06,2016,12,December,6,4,False
20161207,2016-12-07,2016,12,December,7,4,False
20161208,2016-12-08,2016,12,December,8,4,False
20161209,2016-12-09,2016,12,December,9,4,False
20161210,2016-12-10,2016,12,December,10,4,True
20161211,2016-12-11,2016,12,December,11,4,True
20161212,2016-12-12,2016,12,December,12,4,False
20161213,2016-12-13,2016,12,December,13,4,False
20161214,2016-12-14,2016,12,December,14,4,False
20161215,2016-12-15,2016,12,December,15,4,False
20161216,2016-12-16,2016,12,December,16,4,False
20161217,2016-12-17,2016,12,December,17,4,True
20161218,2016-12-18,2016,12,December,18,4,True
20161219,2016-12-19,2016,12,December,19,4,False
20161220,2016-12-20,2016,12,December,20,4,False
20161221,2016-12-21,2016,12,December,21,4,False
20161222,2016-12-22,2016,12,December,22,4,False
20161223,2016-12-23,2016,12,December,23,4,False
20161224,2016-12-24,2016,12,December,24,4,True
20161225,2016-12-25,2016,12,December,25,4,True
20161226,2016-12-26,2016,12,December,26,4,False
20161227,2016-12-27,2016,12,December,27,4,False
20161228,2016-12-28,2016,12,December,28,4,False
20161229,2016-12-29,2016,12,December,29,4,False
20161230,2016-12-30,2016,12,December,30,4,False
20161231,2016-12-31,2016,12,December,31,4,True
20170101,2017-01-01,2017,1,January,1,1,True
20170102,2017-01-02,2017,1,January,2,1,False
20170103,2017-01-03,2017,1,January,3,1,False
20170104,2017-01-04,2017,1,January,4,1,False
20170105,2017-01-05,2017,1,January,5,1,False
